Program_Code,Institution_Name,Depertments,Programme_Name,Cutoff_2023,Cutoff_2022,Subject_1,Subject_2,Subject_3,Subject_4,Department
1057101,EGERTON UNIVERSITY,Arts & Humanities,BACHELOR OF ARTS,24.188,26.783,,,,,Arts & Humanities
1073101,RONGO UNIVERSITY,Arts & Humanities,BACHELOR OF ARTS,24.574,27.808,,,,,Arts & Humanities
1087101,KISII UNIVERSITY,Arts & Humanities,BACHELOR OF ARTS,24.286,26.315,,,,,Arts & Humanities
1105101,CHUKA UNIVERSITY,Arts & Humanities,BACHELOR OF ARTS,23.714,28.566,,,,,Arts & Humanities
1111101,KENYATTA UNIVERSITY,Arts & Humanities,BACHELOR OF ARTS,24.057,28.578,,,,,Arts & Humanities
1117101,PWANI UNIVERSITY,Arts & Humanities,BACHELOR OF ARTS,-,-,,,,,Arts & Humanities
1166101,SOUTH EASTERN KENYA UNIVERSITY,Arts & Humanities,BACHELOR OF ARTS,22.449,24.46,,,,,Arts & Humanities
1170101,MACHAKOS UNIVERSITY,Arts & Humanities,BACHELOR OF ARTS,24.666,25.34,,,,,Arts & Humanities
1253101,MOI UNIVERSITY,Arts & Humanities,BACHELOR OF ARTS,23.716,26.127,,,,,Arts & Humanities
1263101,UNIVERSITY OF NAIROBI,Arts & Humanities,BACHELOR OF ARTS,23.248,26.506,,,,,Arts & Humanities
1685101,THARAKA UNIVERSITY,Arts & Humanities,BACHELOR OF ARTS,22.449,22.916,,,,,Arts & Humanities
1700101,BOMET UNIVERSITY COLLEGE,Arts & Humanities,BACHELOR OF ARTS,22.449,22.916,,,,,Arts & Humanities
3890101,KOITALEEL SAMOEI UNIVERSITY COLLEGE,Arts & Humanities,BACHELOR OF ARTS,22.449,22.916,,,,,Arts & Humanities
1229101,MASENO UNIVERSITY,Arts & Humanities,BACHELOR OF ARTS (WITH IT),23.721,26.259,,,,,Arts & Humanities
1515101,TOM MBOYA UNIVERSITY,Arts & Humanities,BACHELOR OF ARTS (WITH IT),23.729,22.916,,,,,Arts & Humanities
1164101,MULTIMEDIA UNIVERSITY OF KENYA,Arts & Humanities,"BACHELOR OF ARTS (PSYCHOLOGY, SOCIOLOGY & POLITICAL
SCIENCE)",22.449,26.207,,,,,Arts & Humanities
1063102,TECHNICAL UNIVERSITY OF MOMBASA,Architecture & Built Environment,"BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF
ARCHITECTURE",38.365,40.571,MAT A(121):C+,PHY(232):C+,ENG(101)/KIS(102):C+,,"BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF
ARCHITECTURE"
1112102,TECHNICAL UNIVERSITY OF KENYA,Architecture & Built Environment,"BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF
ARCHITECTURE",41.035,41.962,MAT A(121):C+,PHY(232):C+,ENG(101)/KIS(102):C+,,"BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF
ARCHITECTURE"
1249564,"JOMO KENYATTA UNIVERSITY OF
AGRICULTURE AND TECHNOLOGY",Architecture & Built Environment,"BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF
ARCHITECTURE",41.803,42.528,MAT A(121):C+,PHY(232):C+,ENG(101)/KIS(102):C+,,"BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF
ARCHITECTURE"
1263102,UNIVERSITY OF NAIROBI,Architecture & Built Environment,"BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF
ARCHITECTURE",42.99,43.794,MAT A(121):C+,PHY(232):C+,ENG(101)/KIS(102):C+,,"BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF
ARCHITECTURE"
1111102,KENYATTA UNIVERSITY,Architecture & Built Environment,BACHELOR OF ARCHITECTURE,41.494,42.407,MAT A(121):C+,PHY(232):C+,ENG(101)/KIS(102):C+,,BACHELOR OF ARCHITECTURE
1063103,TECHNICAL UNIVERSITY OF MOMBASA,Architecture & Built Environment,BACHELOR OF QUANTITY SURVEYING,-,-,MAT A(121):C+,PHY(232):C+,ENG(101)/KIS(102):C+,,BACHELOR OF QUANTITY SURVEYING
1112103,TECHNICAL UNIVERSITY OF KENYA,Architecture & Built Environment,BACHELOR OF QUANTITY SURVEYING,38.424,40.533,MAT A(121):C+,PHY(232):C+,ENG(101)/KIS(102):C+,,BACHELOR OF QUANTITY SURVEYING
1249103,"JOMO KENYATTA UNIVERSITY OF
AGRICULTURE AND TECHNOLOGY",Architecture & Built Environment,BACHELOR OF QUANTITY SURVEYING,39.763,41.641,MAT A(121):C+,PHY(232):C+,ENG(101)/KIS(102):C+,,BACHELOR OF QUANTITY SURVEYING
1263103,UNIVERSITY OF NAIROBI,Architecture & Built Environment,BACHELOR OF QUANTITY SURVEYING,40.232,40.993,MAT A(121):C+,PHY(232):C+,ENG(101)/KIS(102):C+,,BACHELOR OF QUANTITY SURVEYING
1263105,UNIVERSITY OF NAIROBI,Arts & Humanities,BACHELOR OF ARTS (DESIGN),26.093,25.961,MAT A(121):C+,PHY(232):C+,,,Arts & Humanities
1263106,UNIVERSITY OF NAIROBI,Arts & Humanities,BACHELOR OF ARTS (ANTHROPOLOGY),22.449,22.916,,,,,Arts & Humanities
1117106,PWANI UNIVERSITY,Arts & Humanities,BACHELOR OF ARTS IN ANTHROPOLOGY,22.449,22.916,,,,,Arts & Humanities
1480106,"CATHOLIC UNIVERSITY OF EASTERN
AFRICA",Arts & Humanities,BACHELOR OF ARTS IN ANTHROPOLOGY,22.449,22.916,,,,,Arts & Humanities
